Power_Total;SWD;SWDtop;CU;CM;CD;TT2M;ST;RH2m;WS10m;WS100m;PREC;SNOW;Month;Day;Hour
0.0;0.0;0.0;0.812441327987877;0.15675362408227345;0.41564273241816635;16.698995791233052;12.682410787867124;100.0;5.361111077753787;16.47416549006015;0.0;0.0;1;1;2.25
0.0;0.0;0.0;0.5135199053156972;0.1618907278368985;0.0;4.963277484729213;9.613948965479212;100.0;9.39162987490731;17.53871070843434;0.07896936616023649;0.0;1;1;2.5
0.0;0.0;0.0;0.7818886371575364;0.0;0.4566563056704781;14.407988555547188;21.54342071984877;100.0;7.1226974617982695;11.757848440871715;0.043450173111767826;0.0;1;1;2.75
0.0;0.0;0.0;0.0;0.0;0.0;23.221647574727797;7.45975705868498;100.0;7.3712667636279425;12.706072348523572;0.07018428409947385;0.0;1;1;3.0
0.0;0.0;0.0;0.7101966225815612;0.7242249154912602;0.7963597230263291;22.16617134396425;21.79067623082698;100.0;6.288072239887628;13.697031833289426;0.011296883831701415;0.0;1;1;3.25
0.0;0.0;0.0;0.0;0.5308690034738893;0.3990660922094981;23.060448096794204;19.331531997335617;100.0;4.862173359449851;18.142315167545917;0.0;0.0;1;1;3.5
0.0;0.0;0.0;0.1811092340930203;0.0014103480944663294;0.5744422254446433;20.89373404264544;35.93229003459553;100.0;5.463655843585254;17.180775408568806;0.0;0.0;1;1;3.75
0.0;0.0;0.0;0.0;0.36790811122068734;0.10435871384997425;10.955663581875045;9.933761602137178;100.0;6.528430053080469;14.211528111141067;0.05467830027065891;0.0;1;1;4.0
0.0;0.0;0.0;0.48672831506862113;0.9123619449732114;0.5309200833274552;24.56267834599161;15.969498965935738;100.0;8.61051428118617;15.409874079021746;0.0;0.0;1;1;4.25
0.0;0.0;0.0;0.7594454482958852;0.0;0.13799107709475655;29.0046339696669;11.806337126634716;100.0;8.099290208404955;16.615787220330326;0.0;0.0;1;1;4.5
0.0;0.0;0.0;0.8960637342904991;0.16296748369127295;0.35398084057639984;20.045078265664518;34.17672504646479;100.0;4.53459150191731;9.839903745413897;0.0;0.0;1;1;4.75
0.0;0.0;0.0;0.5087233260680765;0.3709884662867924;0.239235815602281;20.982144478913895;29.19566161722534;100.0;8.303786321759944;11.453422413598432;0.004010972566693227;0.0;1;1;5.0
0.0;0.0;0.0;1.0;0.22734950805202864;0.40652843321116017;15.769037481909074;20.89670322837658;100.0;10.64748497675468;13.05177112365832;0.00602337991884455;0.0;1;1;5.25
